district number,county,fy_min,fy_max,name,names,pop
3505014100200,050,1997,2019,ottawa esd 141,"ottawa elementary,ottawa elementary sc,ottawa elem school dist 141,ottawa esd 141",1770.25
3505015000200,050,1997,2019,marseilles esd 150,"marseilles elementar,marseilles,marseilles elem school dist 150,marseilles esd 150",458.29
3505016001700,050,1997,2019,seneca twp hsd 160,"seneca township high,seneca twp h s dist 160,seneca twp hsd 160",395.42
3505017000400,050,1997,2019,seneca ccsd 170,"seneca community con,seneca comm cons sch dist 170,seneca ccsd 170",398.32
3505017500400,050,1997,2017,dimmick ccsd 175,"dimmick community co,dimmick  community s,dimmick c c school d,dimmick c c school dist 175,dimmick ccsd 175",106.79
3505018500400,050,1997,2019,waltham ccsd 185,"waltham community co,waltham c c school dist 185,waltham ccsd 185",195.8
3505019500400,050,1997,2019,wallace ccsd 195,"wallace c c school,wallace community co,wallace c c school dist 195,wallace ccsd 195",317.55
3505021000400,050,1997,2019,miller twp ccsd 210,"miller twp cc sch,miller township comm,miller twp cc sch dist 210,miller twp ccsd 210",173.41
3505023000400,050,1997,2019,rutland ccsd 230,"rutland c c school,rutland township com,rutland c c school dist 230,rutland ccsd 230",69.54
3505023500400,050,1997,1998,ophir community cons,ophir community cons,54.33
3505028001700,050,1997,2019,mendota twp hsd 280,"mendota township hig,mendota twp h s dist 280,mendota twp hsd 280",483.81
3505028900400,050,1997,2019,mendota ccsd 289,"mendota community co,mendota c c school dist 289,mendota ccsd 289",1016.17
3505042502600,050,1997,2019,lostant cusd 425,"lostant community un,lostant comm unit sch dist 425,lostant cusd 425",58.42
3505900502600,059,2015,2019,henry-senachwine cusd 5,henry-senachwine cusd 5,476.52
3505900702600,059,2015,2019,midland cusd 7,midland cusd 7,658.02
3507853502600,078,2015,2019,putnam county cusd 535,putnam county cusd 535,792.57
3805402102600,054,1997,2014,hartsburg emden cusd 21,"hartsburg-emden comm,hartsburg emden c u s dist 21,hartsburg emden cusd 21",200.72
3805402302600,054,1997,2014,mt pulaski cusd 23,"mt. pulaski communit,mt pulaski comm unit dist 23,mt pulaski cusd 23",477.12
3805402700200,054,1997,2014,lincoln esd 27,"lincoln elementary,lincoln elementary d,lincoln elem school dist 27,lincoln esd 27",1188.24
3805406100400,054,1997,2014,chester-east lincoln ccsd 61,"chester - east linco,chester-east lincoln,chester-east lincoln ccs dist 61,chester-east lincoln ccsd 61",251.93
3805408800200,054,1997,2014,new holland-middletown ed 88,"new holland-middleto,new holland - middle,new holland  - middl,new holland-middletown e dist 88,new holland-middletown ed 88",98.49
3805409200400,054,1997,2014,west lincoln-broadwell esd 92,"west lincoln - broad,west lincoln-broadwe,west-lincoln broadwe,west lincoln-broadwell e s d #92,west lincoln-broadwell esd 92",161.36
3805440401600,054,1997,2014,lincoln chsd 404,"lincoln community hi,lincoln comm h s dist 404,lincoln chsd 404",716.54
